Name,Rank,Team,Games Won,Games Lost,Games Won Percent,Pts Won,Pts Lost,Pts Won Percent
Jorja Johnson,1,Dallas Flash Pickleball,8,0,100.00,88,15,85.44
Anna Bright,2,St. Louis Shock,15,1,93.75,173,82,67.84
Tyra Hurricane Black,3,Dallas Flash Pickleball,7,1,87.50,81,35,69.83
Jw Johnson,4,Dallas Flash Pickleball,7,1,87.50,84,40,67.74
Kate Fahey,5,St. Louis Shock,14,2,87.50,165,87,65.48
Gabriel Tardio,6,St. Louis Shock,14,2,87.50,170,90,65.38
Anna Leigh Waters,7,New Jersey 5S,10,2,83.33,126,60,67.74
Hayden Patriquin,8,St. Louis Shock,13,3,81.25,160,99,61.78
Federico Staksrud,9,Orlando Squeeze,17,5,77.27,221,164,57.40
Tina Pisnik,10,Texas Ranchers,6,2,75.00,87,56,60.84
Eric Oncins,11,Texas Ranchers,6,2,75.00,83,54,60.58
Will Howells,12,New Jersey 5S,9,3,75.00,111,74,60.00
Augustus Ge,13,Dallas Flash Pickleball,6,2,75.00,77,60,56.20
Irina Tereschenko,14,Socal Hard Eights,3,1,75.00,38,37,50.67
Dylan Frazier,15,Orlando Squeeze,15,7,68.18,215,170,55.84
Catherine Parenteau,16,Los Angeles Mad Drops,4,2,66.67,58,51,53.21
Parris Todd,17,Columbus Sliders,14,8,63.64,209,187,52.78
Etta Tuionetoa,18,Texas Ranchers,5,3,62.50,76,64,54.29
Christian Alshon,19,Texas Ranchers,5,3,62.50,72,62,53.73
Dekel Bar,20,Brooklyn Pickleball Team,6,4,60.00,93,73,56.02
Rachel Rohrabacher,21,Brooklyn Pickleball Team,6,4,60.00,90,71,55.90
Lacy Schneemann,22,Orlando Squeeze,13,9,59.09,201,181,52.62
Lea Jansen,23,Columbus Sliders,13,9,59.09,198,181,52.24
Cj Klinger,24,Columbus Sliders,7,5,58.33,105,97,51.98
Tyson Mcguffin,25,Phoenix Flames,9,7,56.25,134,130,50.76
Jessie Irvine,26,Phoenix Flames,9,7,56.25,126,123,50.60
Noe Khlif,27,Miami Pickleball Club,12,10,54.55,195,167,53.87
Andrei Daescu,28,Columbus Sliders,12,10,54.55,195,185,51.32
Quang Duong,29,Los Angeles Mad Drops,3,3,50.00,57,48,54.29
Riley Newman,30,Brooklyn Pickleball Team,5,5,50.00,87,80,52.10
Jackie Kawamoto,31,Brooklyn Pickleball Team,5,5,50.00,84,78,51.85
Samantha Parker,32,Orlando Squeeze,11,11,50.00,195,187,51.05
Milan Rane,33,Miami Pickleball Club,11,11,50.00,182,182,50.00
Vivienne David,34,Chicago Slice,8,8,50.00,133,136,49.44
Blaine Hovenier,35,Socal Hard Eights,2,2,50.00,35,41,46.05
Jade Kawamoto,36,Los Angeles Mad Drops,3,3,50.00,44,55,44.44
Jay Devilliers,37,Miami Pickleball Club,10,12,45.45,181,170,51.57
Jaume Martinez Vich,38,Atlanta Bouncers,8,10,44.44,156,157,49.84
James Ignatowich,39,Chicago Slice,7,9,43.75,130,140,48.15
Meghan Dizon,40,New Jersey 5S,5,7,41.67,99,106,48.29
Mya Bui,41,Miami Pickleball Club,9,13,40.91,168,185,47.59
Roscoe Bellamy,42,Socal Hard Eights,4,6,40.00,79,82,49.07
Callie Smith,43,Chicago Slice,6,10,37.50,131,144,47.64
Collin Johns,44,Carolina Hogs,3,5,37.50,62,70,46.97
Ben Johns,45,Carolina Hogs,3,5,37.50,59,75,44.03
Donald Young,46,New York Hustlers,5,9,35.71,88,132,40.00
Allyce Jones,47,Utah Black Diamonds,2,4,33.33,52,56,48.15
Vivian Glozman,48,Atlanta Bouncers,6,12,33.33,148,167,46.98
Liz Truluck,49,Carolina Hogs,2,4,33.33,45,56,44.55
Connor Garnett,50,Utah Black Diamonds,2,4,33.33,45,59,43.27
Zane Navratil,51,New Jersey 5S,4,8,33.33,84,120,41.18
Max Freeman,52,Chicago Slice,5,11,31.25,128,148,46.38
Tamaryn Emmrich,53,Carolina Hogs,5,11,31.25,109,161,40.37
Dominique Schaefer,54,New York Hustlers,3,7,30.00,60,98,37.97
Zane Ford,55,New York Hustlers,4,10,28.57,86,130,39.81
Helena Spiridis,56,New York Hustlers,4,10,28.57,69,144,32.39
Todd Fought,57,Atlanta Bouncers,5,13,27.78,114,168,40.43
Judit Castillo,58,Socal Hard Eights,1,3,25.00,30,40,42.86
Jack Sock,59,Phoenix Flames,3,13,18.75,89,157,36.18
Genie Bouchard,60,Phoenix Flames,3,13,18.75,81,150,35.06
Genie Erokhina,61,Utah Black Diamonds,1,5,16.67,37,61,37.76
Victoria Dimuzio,62,Atlanta Bouncers,3,15,16.67,106,178,37.32
Tyler Loong,63,Utah Black Diamonds,1,5,16.67,30,64,31.91
